@relation FAQ
@attribute id string
@attribute text string
@attribute domain numeric
@data
"ENG_CAREER_30"," WT I KSXN RSFN FTBK ASSM ",2
"ENG_CAREER_31"," T KRR KNSL LSTN JBS ",2
"ENG_CAREER_32"," WT PRFS RSM ",2
"ENG_CAREER_33"," WT EFKT RSM ",2
"ENG_CAREER_34"," IM 0RP TS AFKT KRR KNSL ",2
"ENG_CAREER_35"," H I ANSW T INTR KSXN ",2
"ENG_CAREER_36"," WT KMN STXN KRR SLXN HLPS KLNT RSLF ",2
"ENG_CAREER_37"," H KRR KNSL PRSS WRK ",2
"ENG_CAREER_38"," H KRR KNSL PRSS TK ",2
"ENG_CAREER_39"," H KRR KNSL MT ",2
"ENG_CAREER_40"," WT TLFN RKRT KRR KNSL  ",2
"ENG_CAREER_41"," IF I AM JB SRX KRR SLXN OFR PLSM WL INTR PTNX EMPL ",2
"ENG_CAREER_42"," WL KRR KNSL RT RSM ",2
"ENG_CAREER_43"," AR SSNS KNFT KRR KNSL  ",2
"ENG_CAREER_44"," WL HL0 INSR KFR KRR KNSL SSNS Y ",2
"ENG_CAREER_45"," KN I TTKT KSTS KRR KNSL TKS RTRN ",2
"ENG_CAREER_46"," WT I SKTL KRR KNSL SSN RSKT KNSL ",2
"ENG_CAREER_47"," AR KRR KNSL SRFS KRNT ",2
"ENG_CAREER_48"," IT SKTL INXL MTNK H I EKSP WT APNT KRR KNSL  ",2
"ENG_CAREER_49"," I KLNT KRR KNSL  WT I FRST ",2
"ENG_CAREER_50"," WT 0 HMNT STRM  ",2
"ENG_CAREER_51"," WT PRSP OPRT AKRK FT ENJN OFRT IT KHRK ",2
"ENG_CAREER_52"," WT KRR OPXN AFRJ STTN XMST M0S ",2
"ENG_CAREER_53"," I B IT AM FRNS SNS WT OPXN HF WT KMPT FRNS KLFK RKRM 0T IS TST EKSM INT OBTN TRNN ELJB PRS KRMN TKR LFL B IT ",2
"ENG_CAREER_54"," I LF KLKT I AM JRL PST  IKN I FRN LNKJ KRR PRSP KLKT I LRNT ENKL MTM SKL I ENKL LNKJ M ",2
"ENG_CAREER_55"," WT KN T AFTR FRNS LNKJ KRS S I KN JT PRPR JB ",2
"ENG_CAREER_56"," SRMT OPNN I STRM   ETKX PRNT ELTR SKST I PKM PKB S NR FTR OPXN M AM ENRL SFL SRFS  ISPS I HMNT ELTR KRTS XS TKNK HMNT SKST I LF IT I FL TSKR PRSR ANT I RL SNSS SX PLS I RKST KT M ANT ANSW ASP 0NK Y ",2
"ENG_CAREER_57"," AJ  YRS JN NXNL TFNS AKTM ",2
"ENG_CAREER_58"," I STT  KMRS I TNT STT  I TNT BKM ",2
"ENG_CAREER_59"," SR KMPL KRTX BSK  YR N ATMS MS KMNK PLS TL KRS TTL NT PRSS ATMS TL KLJS MS KM ",2
"ENG_CAREER_60"," I AM FNL STTN BSKK SNS I KMPL KRTX XLT I MB TR JB SKST OPXN ",2
"ENG_CAREER_61"," H ENTR MT I AM PR MN I MN KRS 0S I AM BSK FSKS I UNBL T MN STT SRSL T FML I TSTR KNTN RKLR BT I SKSS KNT SRFF IT 0R TM JBS TN MF ST ITS IMPS MN WT T I AM TPRS  ",2
"ENG_CAREER_62"," IS TPLM EKFL  KFRN ALS TPLM INST  ",2
"ENG_CAREER_63"," WT ELJB PRSN JTNK ATMS MSK ELKT KMNK AM TNK BSK ELKT KMNK ",2
"ENG_CAREER_64"," RSPK SRM KRNT PRSN FNL B PRTK S PLS SKST KRR P0 B I TP PSXN  N KRR P0 PK PRKR ATXN KRSS SKST I KMPL  P0W SKSS M STRN HRT WRKN KMNK SKLS XLNJ EFRT  M WKNS KNT RPTT JB EFRT  0NK  WTNK FLBL RPL ",2
"ENG_CAREER_65","  BMBX MS MT MSTR TKR AFLB UNFR  UKK RKKN MSTR TKR AFLB BM ",2
"ENG_CAREER_66"," SR KN I M TX BK ",2
"ENG_CAREER_67"," HL MMSR KMPL KRTX BSK MTKL IM KNFS PST KRTX PLS TL SKP MSK SLJ MFL ENTM 0NKF Y ",2
"ENG_CAREER_68"," SRMT I BK KRTT I 0 ARTS STRM TM AM TNK MKPL TL KN JNNK AN TFNS SRFS INT ",2
"ENG_CAREER_69"," PST 0 KMRS AM PRSN BKM ST INST KRSP ALHB UNFR I AM JNNK ARM SFLN HT HL0 PLS ATFS JN NKK JNNK ARM KMFR W ",2
"ENG_CAREER_70"," KN I LST FRS ARTK PRFT FRMS BNKL RSPK ELJB KRTR ",2
"ENG_CAREER_71"," SR I KMPL B MRT N FML KRR I AM RRL SKST PRFS KRS LF MN KRS I OFS JB ",2
"ENG_CAREER_72"," I KMPL B MRTK APR UKK NT EKSM TKK B LFL ",2
"ENG_CAREER_73"," IM TNK FNL TPLM KMPT ENK 0 TNK TPLM ENK  ELS T JB OPRT ",2
"ENG_CAREER_74"," HL SRMM IM PK STTN I AM TNK MSK MKRB I JB OPRT KMPL MSK T MKRB JBS0 ONS JBS FLTS EKSS AM SKLR BRLN STTN AM R T AM AFRJ STTN JBS STTN M SBJK AM SKL P SKL FLT 0NKN ",2
"ENG_CAREER_75"," I AM XRTR AKKN AJT  RS ANT HS BN WRKN IN A BST PS FR LST RS BT N IT IS STKN ANT I WNT A XNJ I LK T JN IN HKR PST FNNS ANT ANLT AR OF RPTT PRFT KMPN OR MNK  W0N INT OR ABRT  M KNTL ATFS WT KNT OF KRS WL B HLPF FR M ",2
"ENG_CAREER_76"," TR SRMT BKM KRTT UNFR TLH I RSTN MRTB P I BMB TR LK MTLN FLM INTS S PLS KSLN RKRT KRR I ATPT I BMB ERN LFNK STRK LNS ",2
"ENG_CAREER_77"," RSPK SR AM PBLK LMTT KMPN PR M JB PRFL INFL LSNN KFT ORKN TNK KSTM SRFS FNKX ETK I AM TRKT INFL MRKT SLS LN  Y I AM AKTN KRTN TNK MNXN JBS I AM  EKSP KRNT ASKN I TRKT TLR NTWR SLS OFS ATMX AM KRTT KMRS PLS I PST KRTT TPLM MRKT PBLK RLXN ALS I AM PRFS OPRX NLJ MS OFS INTR EML ETKM KSXN I AM TTL KNFS MMNT HT FTR PRSP LSNN KSTM SRFS N TS LT TMNT EKM PRFS FTR KR KN I KRS MRKT EKM PRFS I ENTR LN TMNT FTR ALSP SKST ERLS PSBL PRTK MNXN KRS SKL  ETKX EKSP KNSR KT ALS ",2
"ENG_CAREER_78"," TR SRMT AM XMKL ENJN PNJB UNFR XNTK MB IMTK  RS EKSP MRKT KPTL EKPM INTN XNJ LN OPXN EKMR JNNK BSNS ASXX S FKS ETK LF RT EKNM TMS I AM FNNS KMRS TT INFR TXNK TT M STRN KMNK PR WKNS HRTK TXNK STF HWFR I MNJT I ABL KMPN I INHW SLRS KPTL EKPM L PLS ATFS OPXN I HF ",2
"ENG_CAREER_79"," TR SRMT AM TNK BK TSTN ETKX KRS BNKL UNFR APTX I HRT TNK BK I MK RPTT INST INT AL I TR I MNXN ABF ALS KT JB PRSP TNK BK ",2
"ENG_CAREER_80"," SR  AM KRTT APLT PSXL TLH UNFR PKTB APJ SKL MRKT TLH KMPL MSTR SNS KNSL MNJM BTS PLN ETN MN0S TSTN LRNN PRKR KNTR JB MRKT ORKN TRNN SMNR KRPR AKTM RSRX LBS 0 KNTR MN0 BT TL TT I ABL SKR JB MRKT KNSL PRFS PLS HLP INTK SRT ORKN I APRX OR TTS NT SF WRLT I EKMR SRTF FNTN JB ",2
"ENG_CAREER_81"," IM KMBS IMPL EKSP ORKL  PST KLFK EKSP LKNK STBL JB ABRT M ",2
"ENG_CAREER_82"," AFTR KRTX BKM HNS XR RM KLJ KMRS SRKK TLH KNST N KLJ KMRS INT IM KRNT PRSN FNLS B0 K KS I XRTR AKKN KMPN SKRT KRSS KNST N  PRFS TKRS RSPK FLT FNNS INT S K KRS KRKL IM UNTR FNL PRKT TRNN N  RS FNNS TFXN MTRL INT LMTT S0 AX NTWR SLXN TFXN   SBST MTRL INKS M K KMPL JL  AM PLNN MF US STTS ULTM ST KRR FNNS T YRS BT IM TTL KNFS RT N I SPS IM ELJB MB 0R EKSP  SPS PRKT TRNN K WNT KNST EKSP UNFR 0R S I TR MB I TR MSTR TKR FNNS RLTT  KP  KF WX LT BRTR FTR PRSP  KN TL EKSK PKTR N TRMS KRR PRSP  MB MSTR TKR KRSS KPS  KFS KN I XNJ LN STJ MF IT  TRMN AMNT TWRT KMPT I XRT TRM FNNS RLTT KMPT KRSS  OBFS AKKN TTL KMPT EKSK SNR RKRT JTNK JB SM TSNT ON BT STRT US KRNT PRFL  I TR MB WTSF FTR  RS ",2
"ENG_CAREER_83"," I AM KRTT KMRS PKTK KMPT APLK NT I FNXT SMST MBNT TRT KSM KNT KRSP M 0RT SM EKSM T JN  AFTR I PRJK LNKN SPXL I FNXN 0S MB KRS TK M PLNS AKXN FLS JN EKMR MN0 APTX KMPL KRS JL   TK PRJK T WRLT TRT ORKN USNK KNSP EKMR TBTS RKRT FTR KRR PLNS AR WL INTK EKM MB FX SNR LFL PST FLT FNNS TRT  STL SFTW PRFS TM ATFN KRNT TRNT SFTW TFLP WT XNSS JTNK JB ABRT H RTRN I EKSP KMPL KRSS M TSR KNSL FRM LNK F0R K  EKSP HSBN MTX TRNS ENK  EKSP BR0R STTN BTX NFRM TXNL OFR KNSL IMPL EKMR INTN KMPN HLP ATFN BSNS KMPT KLBL H SKSS PRJK TTS KMPT WRLT WTNK RPL ",2
"ENG_CAREER_84"," SR AM BSK FSKS XMST M0MT SBJK ALS I PKTK RPTT UNFR INT IM FKLT  RS ORKN 0 I AM FLT IM FNTN TFKL TFLP KRR FLT BKS SLR INST KMPT TRNN SNTR SPXL FRNX I XNJT  KMPT TRNN SNTR 0 IM PRFS I LK BT INST KMPT TRNN SNTR SLKX KRR TWRT SFTW TFLP NTWR ATMN PLS SKST M ",2
"ENG_CAREER_85"," SR AM B  HNRS TPLM KMPT NT  EKSP SKRT I AM  OLT PRSN I AM R TPRT  YRS I XNJ LN STBL ON I AM JTNK P0 IMPR KRR PLS ATFS AKKR ",2
"ENG_CAREER_86"," TR SR HF KRTX KMRS SPN MNJM PK INTR BSNS MB MSTR OF INTR BSNS  MSTR PRKR TF AHLY UNF INTR KMPL AK  AFTR KMPL KRS I JNT  E EKSP EKSK KRP TRNF KRR M KSXN I IT HT PKT MNT JF ANT K PLS ATFS IT NT I KMPT LTRS  SKNT I AM TNK FT IN INTR MRKT TPK SFTR EKSP FRM INT T RST OF 0 WRLT KSXN FNKX EKSP SLS MRKT TMST IT INRN BS PLS RFRT M 0NKS ANT RKRT ",2
"ENG_CAREER_87"," TR KNSL AM SNR MNJR FNTR TFLP ATMB ANSL UNT B KLS KMPN N AKTM I HLT BMXN BPRT INST ENJN INT KLKT KRTT TPLM MTRL MNJM  TPLM TL T MKNK I PRFS EKSP  PLS M PKLR FML KNST FRST  UNTR MSTR PRKR MNJM MNJM TM SNS I LF TX AKTM KNTN I PRTN KN NLJ HRSN RSNT STRT UNTR KRTT EKSM INTS ENJN FRM IMMB L0 I AM KNFT STP PRFS RKKN FR I APRH PSSN MNJR TKR TPRF KNST TP SLT ASKN A KLS KMPN I AM PSXN TM TM KRS LF JB I LK FRWR SLXN FLTX APRH SBST FR LS SKSS  AS TRM KRR PLN I ASPR MTRL PRTK MNJM KNSL RKRT ",2
"ENG_CAREER_88"," TR SRPL TL AKTL MTKL TRNS IN TN MNKL KRNT KMPT TRNN INST STRT TRNN MTKL TRNS F RNJS RS   TRXN  MN0S  YR IS WR0 TKNK TRNN TP KRSS ",2
"ENG_CAREER_89"," RSPK SR AM BSKL MXNK ENJN M 0RML PWR ENJN RK TRX I AM PRSN PRFT SKTR KMPN PRPS ENJN TPRT FF YRS  TRNT US TSN PK FRT BLRS I AM INFL FRS TFLP AKTF KMPN I KLRT MKRS SKL SRFR   I KRTT PRKR USNK FB MS AKSS I MS EKSS WL  AM  OLT I AM XFTN KRR SFTW FLT KN KNTL ATFS XFT KRR N H I IT KN SKST KMPN ",2
"ENG_CAREER_90"," SR AM TNK BKM FNL RJ UNFK NT TF APRT TKK  LFL EKSP  MRKS IM TNK PRFS KRS FLT KMPT PLS KT KRS STT M I HL KRTF Y ",2
"ENG_CAREER_91"," TR SR AM APRN  EKSM PRS SFTW TFLP KRS  PRK TRN JF WB RLTT MTLS PLS SNT KRS  UNFR  MTLS ETK STBL Y ",2
"ENG_CAREER_92"," SR AM APRN BKM FNL RJ UNF KSPK  I APRT TKK LFL EKSP  MRKS I AM INTR TNK KRR ORNT KRS KMPT SNS STT TWL0 KBS  MRKS I AM FLNT ENKL RSTN TLH SR PLS KT LFL I HL KRTF KTNK PRPR ",2
"ENG_CAREER_93"," I AM TNK ENJN KRSL XFJ UNFR I AM NT YR I AM PLNN ENTR KTKS TFLP ATFN KMPT ENK KRS I KRR ENK SFTW NLJ US PLS N MKSN TTL FLTS HLP RL WRLT I AM BSKL PRKR I TSKF RSNT KLT PLS INFR SMLR INST KTK ",2
"ENG_CAREER_94"," SRMT KRR KMPT FLT HRT RKRS LJKL MNT I TNT I APTT NT PLS ATFS I NTF NT JB I KRR M AKTM RKRT BL KS 0  MRKS  MRKS  MRKS KRTF Y PRFT NTFL HLP ",2
"ENG_CAREER_95"," TR SR AM KRTT ELKT ENJN  EKSP MNTN FLT KRNT RPTT KNSR I AM KRS IT TSPR SWX SFTW FLT I FSL BSK MSKS  BK I PRJK BT I AM KNFT JFN I SKSS EKSK PRJK 0S TS I AM INKL TWRT WB TFLP KNTL KT I AXF KL ENTR IT INTS H SKP INTR PRKR JB OPRT LN WLT I ABL FRXR STRT SLR I ENTR IT INTS N ",2
"ENG_CAREER_96"," TR SR AM PSTK M HSTR  TXNK EKSP XNJ JB I RSNT KMPL PK TPLM HMN RSRS MNJM IKN ANT PK TPLM PRSN MNJM BHFN MNJM INST MMB WT AFNS AFLB KLFK EKSP ",2
"ENG_CAREER_97"," RSPK SR M KRTT B STRM PRSN TNK TNT KRS PLS TL PRSP KMRS EFRB RNNK TS SM PPL ITS AKTL TL  RS INTK KMPT MKS0 KRS KFRT KMRS SMLR IM PRSN NT SKL SRFR MLTM PRSS KNTN KM 0R KMS KM TTML SKRP BNSS ETK0 I TLH IM JTNK ENFR HRS SKST MFTS MTR PRSN MKMT NTHT SN US LN WT I F HRT FSNT IM 0NKN I TM JB PLTF IF STTT IT F EKSP TM I FNX KRSH 0S LS TL INST KM KRS TLHS TFKL XS 0M PS KT M 0NKN Y ",2
"ENG_CAREER_98"," TR SR AM FNL YR I AM AFRJ STTS TNT KRR XS WT KRR KMPN SKRT LB WT FTR HLT I 0S WX BTR ",2
"ENG_CAREER_99"," RSPK SRMT F K XRM AM KMPT OPRT PST  YRS I AM FSL BSK I PKRT NLJ 0R N MKSN AFLB MRKT IT TFKL ONKL PLS TL MKSN ALS PLS TL TX IT INTS  KRTF PRFT NTFL HLP M ",2
"ENG_CAREER_100"," SR AM ARKN INTS ENJN INFL PRJK SRFS RLTT AKTF N  TS FLT KR0K N  I AM 0NKN XFTN SFTW LN JF TRNN ",2
"ENG_CAREER_101"," TR SR AM ENJN STTN TNK PRTK ENJN PNJB ENJN KLJ XNTK M AM KNFS KRR TNK ENJN KRNT AM BLF TST PLNN FTR HLP STRT PRPR ATFN KNFS LT OPXN LK MS KMNK KRSS MBKN KR TNK MSKT TNK MTX ETK PLS ATFS I K ",2
"ENG_CAREER_102"," RSPK SRM PSXL KRTT AM KNST TNK MSTR ORK PSXL T FK ITS KRR PRSP FLT AM KLR I EKSK KRTB PRFS ENJS SKP FNKX PRFR KRS AM KNFS KTNS HL APRX HP PRMP ANSW TST PRPR AKKR KMNK SSN ",2
"ENG_CAREER_103"," TR SR AM FNL STTN PRS KMPT KRR AM WB TSKN KMRS RKMN SMNS TLH M AM JB US HNTS SLR ",2
"ENG_CAREER_104"," TR SR MLTN KMPN I FRST LF JB I PRSR AKSP I MSBH LT OFS IN I KMTT MSTK I STRT APLY OPNN PLS HLP I KNFN INTR I INTR I AM ST KSXN STNT W SKNT I TBT I OPRT INTR NT ",2
"ENG_CAREER_105"," TR SRMT KMPL BKM YRSN 0NF SPNT TM TNK KMPT KRS BSTN KMPT INST I STTY MB ENTR EKSM ST M MB PRRT TL I HX UNSR IT WB TSKN M RSM ATXT BL WL LKNK JBS I JB RKRM PPL  RS EKSP PLS ATFS I T ",2
"ENG_CAREER_106"," RSPK SR  AM TNK MSK M0MT IT FR JBS I APL FR ",2
"ENG_CAREER_107"," H AM UX FNXT INT BSK KMPT TRBT AS I AM TNK TKR KMPT I PRS KRR KMPT I KMPT BKKR STRN PRTM KMPT KRS HLTS PLS ATFS KMPT KRS I FR HT PSTK KRSS PRPR ONWR ATFN ",2
"ENG_CAREER_108"," TR SRMT AM STTN SKNT SKL JB OPRT INKR INTR BKMN TFS SRFS MTRN BSNS AM RSNT TSPR LKNK INFM INFL WB ST TSN RTS IT UNFR I LK HPNK ABL SNT INFR BSNS WBST TSN FRLN FRS P0S ITT I AM  STTN I RKR YT INFR KRSS RN0N TM EFRT ",2
"ENG_CAREER_109"," TR SR PST STT S SK I AM TNK ERNT ENJN I TLT LTL SKP INT KLT PLS TL ITS SKP KNTR INTF I MXNK ELKT ENJN KLT PLS TL SKP MXNK ELKT ENJN ",2
"ENG_CAREER_110"," H  KMPL K I MB KRSX I EKST LRNN ANT FL ATXN ",2
"ENG_CAREER_111"," TR SR AM KRR KMPT KRFK AM KRTT JN I LT STRT N KMPL KRSS KLFT KMPT KRFK EKSP JBS AFLB FLT JB ABRT XS MKRT KRSS T 0NKN ",2
"ENG_CAREER_112"," TR SR AM BSKJ  PST TT ENTR OPRT KFT ORKN PRKR PST PRSN  PST KRTT M0S KMPT B BTX SNS AM KRTT OPXN OPT M M0S KRSP MK FRM IKNB M KMPL  MK KMPL  SKNT M KST MNS PLS NTFL HLP TLNK  RKRT ",2
"ENG_CAREER_113"," TR SR AM  AJ I AM M B A FNNS KRTT KRNT FRN BNK PST  YRS I AM ENJY TSPR XNJ KRRK KNTL SKST KRR OPXN I AM KRTF MNJM I AM KRNT PRSN M PSXL ON INTR I AM KMPT LTRT I STP IT INTS OPXN OPRT KNTL KT MRKR ",2
"ENG_CAREER_114"," RSPK SRMT STTN SNS SKRT  SKSK EKSM AM KNFS NKST AM KMPT MTSN FTR BRTK PLS SKST KRSS PLS RPL SN ",2
"ENG_CAREER_115"," TR SRMT  AM MMB BKM KRTT KRS ORKL FB JF ASP WB TSNN IM AFNK KMPT BKKR I FL I AM INKM TNK PKTK KRS I KNT MK I STTT M0S TL 0 S PLS SKST I PKTK KRS MMB I MMB ONL ",2
"ENG_CAREER_116"," TR SRMT  TPLM ELKT FJT I AM SFTW TFLP YRS I KRTX TKR KMPT I AM PRSN TNK BK IKN YR BT I AM LKNK OPRT 0 KRSP KRS STTN ATNT PRKT  KMPL ATNT IT TFKL ATJS TMNT JB I HRT TKK B LFL EKFL MK FLKS I KRS KNST EKFL MK TKR ALS XS IKN TKK XS IF IKN BXLR TKR BT TNK TKK SRTF EKFL MK IT IKN FL SFTW INTS I AM FL TKK HS WN STS LST KMPN RKRT STTN TKK KRSS M RKKR TKR KRS RKKN SFTW INTS AR XSS AFLB FRWR HLP U ",2
"ENG_CAREER_117"," TR SRMT AM  OLT I KMPL MB ST APRL RNK BSNS SKL I PRJK MKTW KMPN LTT TRBT ANTR PRTX 0S I RST 0RFR I STNT XNS LSNK OPRT 0RFR I KRS INKR FL JB MRKT M SPXL MRKT S I AM PLNN KRS INTR MRKT PNTX UNFR KRSP KRS XRTR INST MRKT UK M AM BSKL KNNK  EKSP I TR OPRT ABRT M SFTW  SRFS  HRTW  FMKK MRKT HT I OPXN FBL ALTR HLP AMBX ABRT WX ALTR I ESR RX KL ",2
"ENG_CAREER_118"," TR SRMT AM BKM KRTT KMPT BKKR I TTRL TTP KRL TR WNTS WNTS NT TML  K FSL BSK ORKL NTWR ETK I AM TNK IBM EBSN KMRS KRS FNX SN I IT KRR EKMR INTB I TML JF 0RL BT I AM FRST KNFS I ATFR EKMR JBS TSKN WB TSKN WB PRKR WB MSTR WB ATMN ETK SPSF RKRM TLS SKLS KLT ATFS NLJ I PSS JB PRSP KRR M KRS NT KFR MLTM FTXP FLX TRKT TRMW XKWF ETK ALS KRS NT INKL FK KM TKM KRB WB SFR WB LJK KLT FXN BRT FXN FSL AJ FSL KF SML ORKL INTR KMRS SRFR APX ETK S LNKS RKRT  XLT I STT TPKS SPRT ELS JB IF S I STT EKST FR0R JBS BB TX MK  WL I JB BKM EKMR ",2
"ENG_CAREER_119"," TR SRMT FTR PRSP TNK MKM  MSTR IN KMPT MNJM S LKRT  WT BSK KRKL TPKS KFRS WT JB OPNN INT  ABRT  ",2
"ENG_CAREER_120"," TR MTM AM APRN ENJN ENTR EKSM YRF I TNT SLKT WT FTR KRS KRRP HLP ",2
"ENG_CAREER_121"," TR SR HLF KRS NT M0R  I WNTS NT K FK UNKS LNTL TML INTR I EKSP TXNK SKL I K ARTK KWLR I KN FRST KRR ISKN  N I STLT PRPR JB HNT JB FR I JB AKR ",2
"ENG_CAREER_122"," TR SRMT MTKL TRNS ABT PLS TL INST TXS KRS TRXN JB PLSM ",2
"ENG_CAREER_123"," TR SRMT AM BKM KRTT KNL TNK BKS BXLR KMPT SNS  KN I IT ON KNSL PSTF RPL BT RPL HL APRX I M0S KLS S FNL BKM KN I ATLS BKS  MKS E0R FL TM PRFR MMB R PLS SKST JFNK TTLS PSBL ",2
"ENG_CAREER_124"," TR SRMT AM STTY KLS S N O S  AFTR TNK 0 I JN ARM I AM KNFS MN S PLS HLP ",2
"ENG_CAREER_125"," TR SRMT  AM BTX TKST TXNL  TKST INTS PRTK KSTM TXNK SRFS MB MRKT IT KHRK AM KRNT MRKT RSRX TPRT PTRX MJR KLKT LST  YRS I XFT AKKT TNK FT KMT RT EKSP M KLT KT KRR PRSP I MNJ FPM IMS I TNK RSRX BHFR SNS T OPXN  ",2
"ENG_CAREER_126"," I AM KMRS KRTT I AM TNK STTS EFNN KLSS HNS I APLK IKN MBTS STTS I AM FLM SKRP KRSS I AFRT F AMNT I AM PRFT KMPN I AM KNFS PLS ATFS M ",2
"ENG_CAREER_127"," TR SRMT  AM TPLM HLTR  RS EKSP SFTW INTS LTNK KMPN BT KRNT INTS SNR ST KRR KR0 P0 I RLST MB TFNT AT RL FL I AM KRNT EKSK S HLP SKST SKLS TPKL AL PPL TM MB KRS KSPK RPL ASP ",2
"ENG_CAREER_128","  AM TKST ENJN KRSM INTS  FKS FBR PLNT MP I KRSP KRS EKSP MNJM KRMN XN I MRT MFNK XN KLT PLS KT JB OPRT XN 0NKN Y ",2
"ENG_CAREER_129"," TR SRMT  BKMP EKSM NT TLH UNFR AFTR KRTX I EMPL SPRN PLS KSTM OFSR S RKST TL EKSM I I FL FRM I FRMS ALS TL I PRPR EKSM WN EKSM HLT WT SLR PSTS 0NKS ",2
"ENG_CAREER_130"," TR SRMT  AM MSK KS HLTR FRXR IS TM KRS TRNN IBM AS IF JB FRXR PL RPL M ",2
"ENG_CAREER_131"," TR SRMT  AM ELKT ENJN BW0  OPRX B0 MNTN PRTK EKSP RPTT TLFN KBL INTS AS FTR TLFN KBL BLK EFN SPRR ATFS OPXN RMNN LF KNTL ATFS FTR FWNK PRSN FTR SNR JB I AM  OLT WL PRSN ERP KRS LNT JB IF S PL ATFS LTNK INST PRFT TRNN KM PLSM I XRT TRM INTS ATMX KRS FL ATXN EKSP BT PRSN TMNT ENKR W0 RKRT EJRL AWTN UR RPL ",2
"ENG_CAREER_132"," TR SRMT  0 KLS BRTS EKSM TSTT JN MRXN NF I WR SPKT I ENJN ST I JN TRKT PRNT IT 0 I KMPL ENJN JN MRXN NF I TKR 0N I AM TTL KNFS PLS TL TFRN JNNK MRXN NF TRKT ENJN TKR ",2
"ENG_CAREER_133"," I  EKSM I FL KRTF KNTL SKST SLXN PRBL SR I AM KNL JNNK MRXN NF MLST LF I JN IT BT OBST I WR SPKT I KRKT LSK LSR OPRX KRKT EY ST I OT YR HLP AT M WTNK KNSR RPL 0NKN ",2
"ENG_CAREER_134"," TR SRMT M AMBX KMRX PLT R MRXN NF M PRNT TLS BSK KMPT SNS TL KRSS I PRFR TKR KRS FL FTR M UNKL JN PLT KRS FTR TTNT JB PLT LF FN US Y BS TRFR JB PLT LSNS  AM TTL KNFS N I FNXT  PLS TL T I PRNT BT TRM PLT R NF OFSR M LF KSXN MRK  PLS HLP ",2
"ENG_CAREER_135"," I KMPL KRTX BKM PS TLH UNFR KRSP KRS PRSN I AM SKRT PRFT FRM I XNJ LN I MB KRS KNTL I MB KRS KRSP I KNTN JB ",2
"ENG_CAREER_136"," SR AM KRNT TNK BSKN INTR SNSS KRKX UNFR IT TSTN ETKX PRKR I AM KNFS PRPR MK MBPL KT M  M0MT ",2
"ENG_CAREER_137"," I W0R TMS MK IKN OPXN JBS IT INTS MMB ",2
"ENG_CAREER_138"," TR SRMT   KMRS I I NKST WL I OFSR MNS PST PRNT I BKM SMPL I MB I JB I STNT ON FT ",2
"ENG_CAREER_139"," TR SRMT 0S PRKX I AM ERNT ENJN S SPXL RKRM ATMT INTR STTN ANT I SBJK SKPK FLT ENJN S I SKPS ERNN FLT ENJN HT FS SBJK I Y HP ML SN ",2
"ENG_CAREER_140"," I KMPL SK BRT  NKLX MTM IN FTR I ENJN IM KNFS I ENJN SNS IT KRS ANT KNT ENJN I FR MXNK O0RS PLS ABT OFRL EKSP KRS HT OPRT STBL M ",2
"ENG_CAREER_141"," I ENTR HRTW KRS I PST  MTKL TTLS ",2
